name,education_level,stream,cgpa,skills,interest,career_domain
S29,Undergraduate,Computer Science,9.1,git backend dsa python flask programming,Development,Software Developer
S30,Postgraduate,Information Technology,8.2,flask api algorithms django git,Development,Software Developer
S31,Postgraduate,Information Technology,7.3,python api java algorithms,Design,Software Developer
S32,Undergraduate,Computer Science,9.1,dsa flask git algorithms django,Development,Software Developer
S33,Postgraduate,Information Technology,7.4,debugging algorithms flask dsa linux,Development,Software Developer
S34,Postgraduate,Law,7.7,programming django backend,Development,Software Developer
S35,Undergraduate,Statistics,8.7,git linux python oop programming dsa flask django,Development,Software Developer
S36,Undergraduate,Computer Science,8.2,django flask algorithms java git oop,Data,Software Developer
S37,Postgraduate,Information Technology,8.8,oop dsa git java programming backend,Development,Software Developer
S38,Postgraduate,Computer Science,7.7,flask dsa api,Development,Software Developer
S39,Postgraduate,Computer Science,9.2,python algorithms backend api dsa java programming,AI,Software Developer
S40,Undergraduate,Mechanical Engineering,7.7,programming git algorithms flask python java dsa,Development,Software Developer
S41,Undergraduate,Law,8.1,java programming git backend linux,Development,Software Developer
S42,Undergraduate,Computer Science,8.6,debugging backend algorithms api,Research,Software Developer
S43,Postgraduate,Information Technology,7.4,api algorithms oop django debugging,Development,Software Developer
S44,Postgraduate,Computer Science,9.4,git flask debugging api programming dsa python,Development,Software Developer
S45,Postgraduate,Computer Science,6.6,git oop java debugging api dsa programming algorithms,Design,Software Developer
S46,Undergraduate,Information Technology,7.4,git flask dsa linux api python django,Development,Software Developer
S47,Undergraduate,Computer Science,7.9,programming oop git,Finance,Software Developer
S48,Undergraduate,Information Technology,9.2,algorithms programming oop django dsa linux git debugging,Development,Software Developer
S49,Postgraduate,Arts,9.3,programming python java api algorithms django flask dsa,Research,Software Developer
S50,Postgraduate,Law,7.2,django git flask backend,Development,Software Developer
S51,Undergraduate,Computer Science,7.3,git python oop debugging programming,Development,Software Developer
S52,Postgraduate,Information Technology,8.0,oop debugging api git,Development,Software Developer
S53,Postgraduate,Computer Science,6.6,python linux git django,Development,Software Developer
S54,Undergraduate,Information Technology,6.9,algorithms api django java linux oop python backend,Development,Software Developer
S55,Postgraduate,Information Technology,8.7,python django dsa git programming linux oop debugging,Development,Software Developer
S56,Undergraduate,Information Technology,7.8,algorithms django git linux,AI,Software Developer
S57,Undergraduate,Computer Science,7.3,python flask linux java algorithms,Development,Software Developer
S58,Postgraduate,Information Technology,8.6,api flask debugging python java,Development,Software Developer
S59,Undergraduate,Information Technology,6.7,linux git dsa programming python backend,Development,Software Developer
S60,Postgraduate,Computer Science,8.7,linux dsa flask,Development,Software Developer
S61,Postgraduate,Computer Science,8.7,django flask oop dsa linux backend algorithms,Security,Software Developer
S62,Undergraduate,Statistics,8.1,git oop debugging flask django dsa,Development,Software Developer
S63,Postgraduate,Computer Science,8.7,api debugging programming backend django java git,Finance,Software Developer
S64,Postgraduate,Computer Science,9.5,programming debugging linux,Development,Software Developer
S65,Postgraduate,Computer Science,8.8,python dsa debugging,Development,Software Developer
S66,Postgraduate,Computer Science,9.2,programming algorithms backend oop,AI,Software Developer
S67,Postgraduate,Arts,8.5,debugging flask dsa algorithms,Data,Software Developer
S68,Postgraduate,Information Technology,6.6,backend oop flask api dsa programming,Development,Software Developer
S69,Postgraduate,Finance,7.2,git backend java dsa flask linux oop,Development,Software Developer
S70,Postgraduate,Information Technology,8.0,backend oop linux java,Development,Software Developer
S71,Postgraduate,Computer Science,8.1,debugging django java algorithms linux git oop,Development,Software Developer
S72,Postgraduate,Information Technology,7.0,python backend git,Development,Software Developer
S73,Postgraduate,Commerce,7.6,backend api java django oop,Development,Software Developer
S74,Postgraduate,Computer Science,7.3,debugging dsa java,Development,Software Developer
S75,Undergraduate,Computer Science,8.2,java dsa api flask linux,Development,Software Developer
S76,Undergraduate,Information Technology,7.3,git api programming python,Development,Software Developer
S77,Postgraduate,Computer Science,6.9,algorithms linux django backend flask api oop,Development,Software Developer
S78,Postgraduate,Information Technology,7.2,algorithms api python programming,Development,Software Developer
S79,Undergraduate,Law,8.9,linux oop api debugging python,Security,Software Developer
S80,Postgraduate,Computer Science,7.3,django flask python algorithms dsa,Development,Software Developer
S81,Postgraduate,Mathematics,8.7,backend flask linux django dsa python algorithms,Development,Software Developer
S82,Undergraduate,Computer Science,9.1,git flask debugging programming,Development,Software Developer
S83,Postgraduate,Information Technology,8.4,programming dsa api python algorithms flask java,Development,Software Developer
S84,Postgraduate,Computer Science,8.7,linux django programming algorithms python debugging dsa,Writing,Software Developer
S85,Postgraduate,Information Technology,7.7,algorithms linux python java debugging django backend,Finance,Software Developer
S86,Postgraduate,Statistics,8.0,django debugging java flask,Development,Software Developer
S87,Postgraduate,Information Technology,8.2,backend python linux,Development,Software Developer
S88,Postgraduate,Computer Science,8.4,oop algorithms debugging,Development,Software Developer
S89,Postgraduate,Information Technology,9.4,programming django linux,Design,Software Developer
S90,Postgraduate,Data Science,7.4,backend api flask algorithms programming,Development,Software Developer
S91,Undergraduate,Computer Science,6.9,flask dsa django algorithms oop python backend,Development,Software Developer
S92,Postgraduate,Information Technology,8.8,flask programming algorithms debugging dsa linux,Writing,Software Developer
S93,Undergraduate,Information Technology,8.8,api backend programming,Development,Software Developer
S94,Postgraduate,Data Science,6.5,linux dsa debugging,Development,Software Developer
S95,Postgraduate,Computer Science,6.6,oop programming python,Development,Software Developer
S96,Postgraduate,Information Technology,9.2,debugging flask api dsa,Data,Software Developer
S97,Undergraduate,Commerce,7.0,oop python debugging linux backend api,Data,Software Developer
S98,Postgraduate,Mechanical Engineering,7.9,dsa java flask algorithms,Cloud,Software Developer
S99,Undergraduate,Statistics,7.2,linux django dsa java python git backend flask,AI,Software Developer
S100,Postgraduate,Information Technology,7.9,debugging python programming git java algorithms api,Development,Software Developer
S101,Undergraduate,Information Technology,9.4,oop python algorithms,Cloud,Software Developer
S102,Undergraduate,Computer Science,8.8,flask django programming git dsa debugging python,Development,Software Developer
S103,Undergraduate,Computer Science,6.5,django git oop dsa,Development,Software Developer
S104,Undergraduate,Computer Science,7.0,java backend oop,Development,Software Developer
S105,Postgraduate,Mechanical Engineering,8.8,flask programming dsa,Development,Software Developer
S106,Undergraduate,Information Technology,9.3,api git java algorithms backend django,Research,Software Developer
S107,Undergraduate,Information Technology,8.4,linux oop java algorithms,Development,Software Developer
S108,Undergraduate,Information Technology,7.9,backend python programming dsa debugging linux algorithms,Cloud,Software Developer
S109,Undergraduate,Mechanical Engineering,7.4,flask linux api,Development,Software Developer
S110,Undergraduate,Commerce,8.4,algorithms dsa linux java api python,Finance,Software Developer
S111,Postgraduate,Computer Science,9.4,programming algorithms flask dsa,Research,Software Developer
S112,Undergraduate,Computer Science,9.2,flask debugging oop algorithms python git,Development,Software Developer
S113,Undergraduate,Computer Science,7.3,backend python java debugging django programming api,Development,Software Developer
S114,Undergraduate,Computer Science,7.6,debugging algorithms java linux api dsa flask git,Development,Software Developer
S115,Postgraduate,Data Science,7.6,backend django git flask linux debugging programming,Development,Software Developer
S116,Postgraduate,Information Technology,8.8,flask api python debugging dsa,Development,Software Developer
S117,Postgraduate,Commerce,6.5,oop django linux,AI,Software Developer
S118,Postgraduate,Computer Science,7.4,django git api oop linux programming,Development,Software Developer
S119,Postgraduate,Computer Science,7.9,algorithms api oop dsa debugging,AI,Software Developer
S120,Undergraduate,Information Technology,8.4,flask git dsa java oop,Development,Software Developer
S121,Postgraduate,Information Technology,8.5,algorithms linux flask dsa java,Cloud,Software Developer
S122,Postgraduate,Information Technology,7.4,api dsa debugging python,Development,Software Developer
S123,Postgraduate,Information Technology,6.7,dsa flask programming django backend,Development,Software Developer
S124,Postgraduate,Computer Science,7.2,backend python django,Development,Software Developer
S125,Undergraduate,Mathematics,7.8,flask programming python django,Development,Software Developer
S126,Postgraduate,Information Technology,7.7,git linux backend java oop python algorithms flask,Research,Software Developer
S127,Postgraduate,Information Technology,7.0,dsa api java backend algorithms programming flask,Development,Software Developer
S128,Postgraduate,Information Technology,7.0,debugging flask oop python java django algorithms,Development,Software Developer
S129,Postgraduate,Computer Science,8.6,django debugging flask git java algorithms linux,Development,Software Developer
S130,Undergraduate,Information Technology,7.2,algorithms linux git,Research,Software Developer
S131,Postgraduate,Computer Science,7.0,debugging api flask oop python dsa git,Development,Software Developer
S132,Postgraduate,Information Technology,7.2,backend algorithms python dsa programming,Data,Software Developer
S133,Undergraduate,Information Technology,8.2,java git backend linux debugging api dsa,Development,Software Developer
S134,Postgraduate,Information Technology,8.9,algorithms python django programming linux,Development,Software Developer
S135,Postgraduate,Information Technology,7.4,oop git api,Development,Software Developer
S136,Postgraduate,Psychology,7.1,algorithms flask python debugging java django programming,Development,Software Developer
S137,Undergraduate,Information Technology,7.3,linux python programming git api flask django algorithms,Research,Software Developer
S138,Undergraduate,Computer Science,9.2,programming flask backend api debugging,Research,Software Developer
S139,Undergraduate,Information Technology,8.5,algorithms flask dsa java oop,Development,Software Developer
S140,Postgraduate,Computer Science,7.7,programming oop django python linux algorithms,Development,Software Developer
S141,Undergraduate,Information Technology,6.8,dsa git java programming backend python flask algorithms,Development,Software Developer
S142,Undergraduate,Computer Science,8.2,oop flask linux algorithms programming java api,Development,Software Developer
S143,Postgraduate,Computer Science,6.9,api backend flask python django oop linux,Development,Software Developer
S144,Undergraduate,Information Technology,7.6,java linux backend flask git django debugging programming,Development,Software Developer
S145,Undergraduate,Information Technology,9.1,oop dsa backend api linux,Development,Software Developer
S146,Postgraduate,Computer Science,8.8,python oop api algorithms,Design,Software Developer
S147,Undergraduate,Computer Science,7.4,oop git python backend algorithms debugging django dsa,Writing,Software Developer
S148,Postgraduate,Computer Science,6.6,django programming flask linux java debugging backend api,Development,Software Developer
S149,Postgraduate,Information Technology,9.5,backend algorithms django debugging api python,Development,Software Developer
S150,Postgraduate,Computer Science,7.5,dsa oop programming django python git java linux,Finance,Software Developer
S151,Postgraduate,Information Technology,7.7,backend flask debugging python programming java api,Development,Software Developer
S152,Postgraduate,Law,6.8,api python oop linux backend java,Development,Software Developer
S153,Postgraduate,Information Technology,7.1,django oop dsa programming debugging,Development,Software Developer
S154,Postgraduate,Arts,8.8,python oop programming dsa java,Data,Software Developer
S155,Postgraduate,Computer Science,8.2,java api django,Development,Software Developer
S156,Postgraduate,Computer Science,6.8,backend python programming django algorithms linux git flask,Development,Software Developer
S157,Undergraduate,Computer Science,8.4,git python programming debugging algorithms backend api dsa,Finance,Software Developer
S158,Postgraduate,Commerce,8.8,debugging python linux oop algorithms dsa django programming,Development,Software Developer
S159,Undergraduate,Information Technology,6.7,oop git backend programming algorithms java api,Development,Software Developer
S160,Undergraduate,Information Technology,8.9,linux java git backend python flask debugging,Development,Software Developer
S161,Undergraduate,Mathematics,9.4,programming flask algorithms backend python,Development,Software Developer
S162,Undergraduate,Finance,7.5,oop programming linux api dsa flask git java,Development,Software Developer
S163,Postgraduate,Information Technology,7.6,linux java api,Development,Software Developer
S164,Undergraduate,Information Technology,8.5,linux flask debugging dsa java programming django git,Development,Software Developer
S165,Undergraduate,Finance,7.1,programming python dsa,Development,Software Developer
S166,Undergraduate,Computer Science,8.6,algorithms java flask python dsa,Development,Software Developer
S167,Undergraduate,Computer Science,7.2,api django java flask git dsa python,Development,Software Developer
S168,Undergraduate,Information Technology,8.6,oop api python flask algorithms,Cloud,Software Developer
S169,Postgraduate,Arts,7.7,git linux flask,Development,Software Developer
S170,Undergraduate,Computer Science,7.0,python backend git dsa oop algorithms java django,Development,Software Developer
S171,Undergraduate,Computer Science,7.9,git debugging flask programming algorithms linux oop java,Development,Software Developer
S172,Undergraduate,Information Technology,7.4,java git django api python linux,Writing,Software Developer
S173,Undergraduate,Computer Science,9.0,python api git linux,Development,Software Developer
S174,Undergraduate,Computer Science,7.1,flask python oop dsa programming git,Cloud,Software Developer
S175,Postgraduate,Mechanical Engineering,6.5,programming debugging oop java algorithms python flask,Development,Software Developer
S176,Undergraduate,Computer Science,8.0,git api dsa flask django,Development,Software Developer
S177,Undergraduate,Computer Science,9.3,python django backend java,Development,Software Developer
S178,Undergraduate,Commerce,8.3,dsa git debugging algorithms programming python,Development,Software Developer
S179,Postgraduate,Information Technology,7.5,java django backend oop debugging,Cloud,Software Developer
S180,Undergraduate,Computer Science,7.6,flask api debugging,Development,Software Developer
S181,Undergraduate,Computer Science,8.5,flask programming oop dsa django,Development,Software Developer
S182,Postgraduate,Information Technology,9.0,oop git linux programming java,Development,Software Developer
S183,Undergraduate,Information Technology,9.1,django java git algorithms flask backend programming,Development,Software Developer
S184,Undergraduate,Information Technology,9.0,java linux git django,Design,Software Developer
S185,Undergraduate,Computer Science,8.5,git dsa debugging python backend api algorithms flask,Development,Software Developer
S186,Postgraduate,Mechanical Engineering,6.7,programming oop java backend python,Design,Software Developer
S187,Postgraduate,Information Technology,6.8,backend django debugging python algorithms oop api dsa,Development,Software Developer
S188,Undergraduate,Information Technology,7.3,django flask python dsa,Development,Software Developer
S189,Postgraduate,Information Technology,8.9,oop java python debugging,Development,Software Developer
S190,Postgraduate,Information Technology,6.7,django flask python oop,Development,Software Developer
S191,Undergraduate,Computer Science,8.2,flask programming oop,Writing,Software Developer
S192,Postgraduate,Information Technology,8.3,backend dsa debugging,Cloud,Software Developer
S193,Postgraduate,Computer Science,8.8,flask api git django backend,Development,Software Developer
S194,Undergraduate,Computer Science,9.3,linux flask debugging django git algorithms java backend,Development,Software Developer
S195,Postgraduate,Computer Science,6.9,django git python backend,Development,Software Developer
S196,Undergraduate,Law,7.8,dsa programming java debugging django oop,Development,Software Developer
S197,Postgraduate,Computer Science,8.2,java dsa oop python django,Development,Software Developer
S198,Undergraduate,Computer Science,7.0,django flask oop python java git algorithms,AI,Software Developer
S199,Postgraduate,Law,7.3,algorithms programming java backend flask dsa,Development,Software Developer
S200,Postgraduate,Computer Science,8.0,dsa backend python git linux api programming,Development,Software Developer
S201,Postgraduate,Computer Science,7.6,programming python django flask java backend git algorithms,Development,Software Developer
S202,Postgraduate,Computer Science,7.3,django api linux programming backend dsa flask debugging,Development,Software Developer
S203,Undergraduate,Information Technology,7.6,java django linux dsa git oop flask,Development,Software Developer
S204,Postgraduate,Computer Science,8.0,linux git flask,Development,Software Developer
S205,Undergraduate,Computer Science,8.6,debugging algorithms dsa django linux python oop java,Writing,Software Developer
S206,Undergraduate,Computer Science,8.2,flask django backend linux,Development,Software Developer
S207,Undergraduate,Computer Science,9.3,backend dsa linux,Development,Software Developer
S208,Undergraduate,Computer Science,8.1,api oop programming linux debugging backend,Writing,Software Developer
S209,Undergraduate,Computer Science,8.9,debugging java python programming flask oop linux backend,Development,Software Developer
S210,Postgraduate,Arts,6.8,api oop dsa django algorithms,Development,Software Developer
S211,Undergraduate,Statistics,8.2,api flask linux oop algorithms java,Research,Software Developer
S212,Postgraduate,Information Technology,7.4,oop java backend python api,Finance,Software Developer
S213,Undergraduate,Computer Science,7.8,dsa oop algorithms linux,Data,Software Developer
S214,Postgraduate,Computer Science,6.8,flask django python debugging git java linux,Development,Software Developer
S215,Postgraduate,Computer Science,7.5,backend debugging django algorithms,Cloud,Software Developer
S216,Undergraduate,Information Technology,8.5,backend debugging flask linux django oop,Development,Software Developer
S217,Postgraduate,Mechanical Engineering,7.3,django debugging flask java backend algorithms python,Development,Software Developer
S218,Postgraduate,Computer Science,9.4,debugging python linux java,Writing,Software Developer
S219,Postgraduate,Computer Science,9.3,programming debugging git python,Development,Software Developer
S220,Undergraduate,Information Technology,7.4,algorithms backend python git dsa oop java django,Development,Software Developer
S221,Postgraduate,Mathematics,8.7,python programming backend,Data,Software Developer
S222,Undergraduate,Computer Science,7.5,backend api dsa django linux python programming,Development,Software Developer
S223,Postgraduate,Information Technology,6.8,python java linux django flask algorithms,Development,Software Developer
S224,Postgraduate,Information Technology,9.3,backend api algorithms python git,Research,Software Developer
S225,Postgraduate,Computer Science,6.6,programming java algorithms backend flask,Data,Software Developer
S226,Postgraduate,Computer Science,9.5,python debugging oop flask java django linux api,Finance,Software Developer
S227,Undergraduate,Computer Science,6.5,java git debugging,Development,Software Developer
S228,Undergraduate,Computer Science,7.2,linux api python git flask django java,Research,Software Developer
S229,Undergraduate,Computer Science,6.7,backend linux java django oop python debugging dsa,Writing,Software Developer
S230,Undergraduate,Computer Science,6.6,python backend git programming algorithms,Development,Software Developer
S231,Postgraduate,Psychology,8.9,java algorithms git linux flask backend,Development,Software Developer
S232,Postgraduate,Data Science,6.6,dsa linux oop programming git api,Development,Software Developer
S233,Undergraduate,Data Science,8.9,programming oop dsa java,Development,Software Developer
S234,Postgraduate,Computer Science,8.2,debugging dsa programming api git django,Development,Software Developer
S235,Undergraduate,Information Technology,9.3,java programming dsa flask backend python algorithms oop,Development,Software Developer
S236,Undergraduate,Computer Science,9.4,backend oop git,Development,Software Developer
S237,Undergraduate,Information Technology,6.6,python api programming debugging backend,Design,Software Developer
S238,Postgraduate,Psychology,9.5,algorithms python api git backend dsa django,Development,Software Developer
S239,Postgraduate,Psychology,7.9,django backend programming linux java api python,Development,Software Developer
S240,Postgraduate,Information Technology,8.8,api dsa backend git programming,Cloud,Software Developer
S241,Postgraduate,Computer Science,9.2,algorithms debugging api linux dsa java git oop,Development,Software Developer
S242,Postgraduate,Computer Science,7.8,api programming python java flask git,Development,Software Developer
S243,Undergraduate,Mathematics,7.1,api programming backend django,Development,Software Developer
S244,Undergraduate,Computer Science,8.2,dsa git backend linux oop programming flask,Development,Software Developer
S245,Postgraduate,Data Science,7.8,java dsa linux backend api,Development,Software Developer
S246,Postgraduate,Information Technology,7.4,dsa django linux,Development,Software Developer
S247,Postgraduate,Computer Science,8.5,programming python backend linux api django,Development,Software Developer
S248,Postgraduate,Information Technology,8.6,backend django python flask git,Development,Software Developer
S249,Undergraduate,Commerce,8.5,flask oop programming linux debugging algorithms git,Development,Software Developer
S250,Undergraduate,Information Technology,7.6,dsa backend flask programming oop python django debugging,Development,Software Developer
S251,Postgraduate,Information Technology,6.9,oop linux api programming django debugging,Development,Software Developer
S252,Postgraduate,Mathematics,7.5,dsa debugging flask oop,Development,Software Developer
S253,Undergraduate,Computer Science,8.5,api git oop debugging,Development,Software Developer
S254,Postgraduate,Computer Science,7.6,git backend django dsa programming java algorithms linux,Cloud,Software Developer
S255,Postgraduate,Information Technology,8.9,dsa flask backend algorithms django python linux,Development,Software Developer
S256,Undergraduate,Computer Science,7.9,python dsa java oop backend debugging,Finance,Software Developer
S257,Postgraduate,Computer Science,8.5,api git flask python oop linux algorithms backend,Development,Software Developer
S258,Undergraduate,Computer Science,7.6,programming java python django git flask algorithms,Development,Software Developer
S259,Postgraduate,Information Technology,8.9,oop django python backend debugging dsa,Development,Software Developer
S260,Undergraduate,Information Technology,7.3,algorithms programming flask java api debugging django git,Development,Software Developer
S261,Undergraduate,Computer Science,9.2,programming git java django dsa flask algorithms linux,Development,Software Developer
S262,Postgraduate,Information Technology,8.2,git algorithms flask linux debugging backend django api,Development,Software Developer
S263,Postgraduate,Psychology,6.6,git java flask linux algorithms dsa api,Development,Software Developer
S264,Undergraduate,Computer Science,9.4,backend programming java git debugging oop linux flask,Development,Software Developer
S265,Undergraduate,Computer Science,9.1,backend linux python java,Development,Software Developer
S266,Undergraduate,Computer Science,6.9,debugging git algorithms programming,Security,Software Developer
S267,Undergraduate,Computer Science,8.2,linux oop algorithms git programming python java debugging,Development,Software Developer
S268,Postgraduate,Information Technology,9.0,django flask linux java algorithms debugging dsa oop,Security,Software Developer
S269,Undergraduate,Information Technology,9.1,debugging programming algorithms git,Development,Software Developer
S270,Undergraduate,Information Technology,6.8,programming django api algorithms python dsa,Data,Software Developer
S271,Postgraduate,Computer Science,8.3,java algorithms django oop programming git,Development,Software Developer
S272,Undergraduate,Information Technology,8.3,dsa programming python,Development,Software Developer
S273,Postgraduate,Computer Science,8.7,dsa algorithms linux django python backend,Development,Software Developer
S274,Undergraduate,Information Technology,7.4,django python api flask java programming backend,Development,Software Developer
S275,Undergraduate,Information Technology,7.5,linux python oop flask java django,Security,Software Developer
S276,Postgraduate,Information Technology,8.4,programming django api,Development,Software Developer
S277,Undergraduate,Mathematics,6.6,linux programming django api dsa,Development,Software Developer
S278,Undergraduate,Computer Science,7.5,programming api git backend debugging django,Data,Software Developer
S279,Postgraduate,Commerce,8.9,python algorithms oop programming java django backend,AI,Software Developer
S280,Undergraduate,Computer Science,7.4,git backend programming django python algorithms flask,Development,Software Developer
S281,Undergraduate,Information Technology,9.5,django oop algorithms linux api flask,AI,Software Developer
S282,Undergraduate,Information Technology,6.9,backend git flask programming dsa debugging python,Development,Software Developer
S283,Undergraduate,Mathematics,7.6,dsa linux oop backend python flask,Development,Software Developer
S284,Postgraduate,Information Technology,8.6,backend linux python debugging api,Development,Software Developer
S285,Postgraduate,Mathematics,7.9,django python api programming flask debugging linux,Research,Software Developer
S286,Postgraduate,Information Technology,8.6,linux oop programming debugging algorithms dsa backend java,Development,Software Developer
S287,Postgraduate,Information Technology,7.4,django algorithms programming oop java,Development,Software Developer
S288,Postgraduate,Finance,6.9,django api dsa java backend python,Writing,Software Developer
S289,Postgraduate,Computer Science,9.1,python algorithms programming flask,Development,Software Developer
S290,Postgraduate,Arts,7.2,backend flask python algorithms oop django java programming,Development,Software Developer
S291,Undergraduate,Information Technology,7.1,oop api algorithms,Finance,Software Developer
S292,Postgraduate,Computer Science,7.0,backend api flask linux programming git java,Development,Software Developer
S293,Postgraduate,Information Technology,6.7,git django dsa oop debugging,Development,Software Developer
S294,Postgraduate,Information Technology,7.8,programming python git,Cloud,Software Developer
S295,Postgraduate,Mechanical Engineering,7.3,oop linux django python,Development,Software Developer
S296,Postgraduate,Law,7.8,debugging java algorithms django dsa api flask,Data,Software Developer
S297,Undergraduate,Information Technology,8.5,git flask linux dsa java backend,Development,Software Developer
S298,Undergraduate,Statistics,9.1,java django backend algorithms flask dsa python,Research,Software Developer
S299,Postgraduate,Finance,6.5,python git programming oop api linux java flask,Design,Software Developer
S300,Undergraduate,Information Technology,7.8,django programming debugging dsa,Development,Software Developer
S301,Postgraduate,Computer Science,7.9,debugging python api flask,Development,Software Developer
S302,Undergraduate,Psychology,9.2,django java linux programming debugging,Development,Software Developer
S303,Undergraduate,Computer Science,6.7,django oop linux algorithms api java backend git,Finance,Software Developer
S304,Undergraduate,Computer Science,6.9,oop linux git algorithms dsa programming flask,Development,Software Developer
S305,Postgraduate,Information Technology,7.5,java flask debugging django api,Finance,Software Developer
S306,Postgraduate,Computer Science,7.8,flask python debugging,Development,Software Developer
S307,Postgraduate,Information Technology,8.9,python programming oop api dsa,Finance,Software Developer
S308,Undergraduate,Computer Science,7.7,oop flask backend python api java,Cloud,Software Developer
S309,Postgraduate,Information Technology,9.0,oop api algorithms django backend python programming linux,Data,Software Developer
S310,Undergraduate,Commerce,8.4,backend programming algorithms,Development,Software Developer
S311,Postgraduate,Finance,7.7,api linux git programming oop debugging,Security,Software Developer
S312,Undergraduate,Computer Science,9.1,linux python dsa programming api algorithms java oop,Cloud,Software Developer
S313,Undergraduate,Information Technology,8.4,git linux oop,Development,Software Developer
S314,Undergraduate,Computer Science,8.1,oop java api programming,Design,Software Developer
S315,Undergraduate,Information Technology,8.6,backend programming debugging,Cloud,Software Developer
S316,Undergraduate,Data Science,9.0,api debugging oop,Development,Software Developer
S317,Undergraduate,Law,8.2,programming python api django flask,Development,Software Developer
S318,Undergraduate,Information Technology,8.1,git oop flask,Development,Software Developer
S319,Undergraduate,Computer Science,8.0,backend oop django,Development,Software Developer
S320,Undergraduate,Information Technology,8.4,dsa backend api java linux git,Data,Software Developer
S321,Postgraduate,Computer Science,6.6,flask api java algorithms git python,Development,Software Developer
S322,Undergraduate,Information Technology,7.0,django programming linux oop dsa,Finance,Software Developer
S323,Undergraduate,Mechanical Engineering,6.8,linux algorithms django,Finance,Software Developer
S324,Undergraduate,Information Technology,8.0,dsa backend algorithms api oop debugging,Development,Software Developer
S325,Postgraduate,Computer Science,9.0,flask oop backend debugging algorithms django,Development,Software Developer
S326,Undergraduate,Information Technology,7.9,git flask oop debugging dsa,Development,Software Developer
S327,Undergraduate,Computer Science,8.2,programming oop linux algorithms backend,Development,Software Developer
S328,Undergraduate,Statistics,7.4,debugging api programming oop git python dsa algorithms,Development,Software Developer
S329,Undergraduate,Information Technology,8.1,flask api git debugging linux dsa backend django,Development,Software Developer
S330,Postgraduate,Statistics,6.5,backend api dsa debugging django,Development,Software Developer
S331,Undergraduate,Law,6.5,api programming django linux debugging python algorithms,Development,Software Developer
S332,Postgraduate,Finance,7.9,django debugging dsa backend,Development,Software Developer
S333,Postgraduate,Information Technology,6.7,java flask linux oop git python django,Development,Software Developer
S334,Undergraduate,Statistics,8.6,java django backend linux debugging python algorithms,Development,Software Developer
S335,Undergraduate,Computer Science,9.1,backend debugging programming dsa python,Development,Software Developer
S336,Undergraduate,Information Technology,8.2,python backend algorithms programming linux,Development,Software Developer
S337,Undergraduate,Computer Science,8.4,linux backend debugging algorithms dsa,Data,Software Developer
S338,Postgraduate,Information Technology,8.6,dsa flask git,Development,Software Developer
S339,Undergraduate,Computer Science,8.4,debugging java api algorithms,Development,Software Developer
S340,Postgraduate,Information Technology,7.5,python oop debugging django programming dsa api algorithms,Development,Software Developer
S341,Postgraduate,Computer Science,6.5,flask dsa django algorithms linux,Development,Software Developer
S342,Undergraduate,Psychology,8.5,dsa programming api algorithms flask java,Development,Software Developer
